Average mark awarded for your highest qualification,Hours willing to work per day,Hackathons Attended,Public speaking points,Can you work for a long time before a system?,Are you a self learner?,Attended Extra-courses,Certifications Awarded,Workshops Attended,Reading and writing skills,How do you rate your memory?,Interested subjects,Interested in games,Interested book genre,Management or Technical,Team worker or not?,Are you an introvert?,Suggested Job Role
78.22222222,8,1,9,yes,yes,yes,r programming,testing,medium,excellent,IOT,no,Autobiographies,Technical,yes,no,Database Manager
78.77777778,7,4,5,no,no,yes,app development,data science,poor,excellent,Computer Architecture,yes,Religion-Spirituality,Management,yes,yes,Applications Developer
73.66666667,5,4,1,yes,no,yes,hadoop,hacking,poor,medium,hacking,yes,Fantasy,Technical,no,no,Business Systems Analyst
74.22222222,11,5,6,no,no,yes,hadoop,testing,medium,excellent,cloud computing,yes,Drama,Management,no,no,CRM Business Analyst
79.88888889,11,5,7,yes,yes,no,app development,system designing,poor,excellent,IOT,yes,Math,Technical,yes,yes,Design & UX
78.33333333,5,2,9,no,yes,yes,app development,cloud computing,excellent,medium,Management,yes,Diaries,Management,yes,no,Software Developer
74.44444444,10,4,9,yes,yes,no,information security,database security,poor,medium,Management,no,Guide,Management,no,yes,Web Developer
83.55555556,5,2,2,yes,yes,yes,full stack,database security,poor,poor,Management,yes,Science,Technical,yes,yes,UX Designer
78.55555556,12,5,2,no,no,yes,shell programming,data science,medium,excellent,programming,no,Comics,Technical,no,yes,Web Developer
75.66666667,12,5,3,no,yes,no,app development,data science,excellent,medium,programming,yes,Horror,Technical,no,yes,Technical Services/Help Desk/Tech Support
74.22222222,6,1,2,no,no,yes,information security,game development,excellent,medium,cloud computing,no,History,Technical,yes,yes,UX Designer
78.88888889,9,4,5,yes,yes,yes,shell programming,data science,medium,poor,networks,yes,Journals,Technical,no,yes,Information Technology Manager
76.66666667,9,5,1,no,no,yes,python,data science,poor,medium,parallel computing,yes,Mystery,Management,yes,no,Network Engineer
76.33333333,12,3,2,no,yes,yes,machine learning,database security,medium,poor,networks,yes,Journals,Technical,yes,yes,Web Developer
79,11,2,6,yes,yes,yes,machine learning,testing,poor,poor,IOT,yes,Childrens,Management,no,yes,Software Developer
74.66666667,9,5,1,yes,no,no,distro making,cloud computing,excellent,excellent,hacking,yes,Health,Management,no,no,Technical Services/Help Desk/Tech Support
77.77777778,10,4,2,yes,yes,yes,r programming,hacking,medium,poor,networks,no,Anthology,Technical,no,no,Quality Assurance Associate
74.33333333,4,2,4,yes,yes,no,app development,cloud computing,excellent,poor,programming,yes,Guide,Management,no,yes,Applications Developer
83.22222222,10,5,3,no,yes,no,distro making,hacking,poor,poor,cloud computing,yes,Satire,Technical,no,no,Solutions Architect
77.55555556,6,5,9,yes,yes,yes,python,data science,poor,medium,Software Engineering,no,Art,Management,no,yes,Systems Analyst
75.55555556,11,2,4,yes,no,no,python,testing,medium,medium,IOT,yes,Science,Management,yes,no,Software Systems Engineer
70.22222222,8,4,6,yes,no,no,hadoop,game development,excellent,poor,Computer Architecture,yes,Biographies,Technical,yes,yes,Portal Administrator
71.77777778,5,5,5,yes,no,no,app development,hacking,excellent,poor,programming,no,Prayer books,Technical,yes,no,Software Quality Assurance (QA) / Testing
77.44444444,4,3,3,yes,no,yes,r programming,cloud computing,medium,medium,Computer Architecture,no,Comics,Technical,yes,yes,Software Developer
76.77777778,8,3,9,no,yes,no,app development,game development,poor,excellent,Software Engineering,yes,Trilogy,Management,no,no,Web Developer
81.22222222,10,3,7,yes,no,yes,hadoop,system designing,medium,poor,hacking,no,Dictionaries,Technical,no,no,Mobile Applications Developer
77.88888889,10,4,1,no,yes,no,shell programming,data science,medium,poor,Computer Architecture,no,Health,Management,no,no,Business Intelligence Analyst
75.77777778,10,2,5,no,no,no,app development,testing,medium,medium,cloud computing,no,Horror,Technical,no,no,Technical Support
77.44444444,11,0,9,no,yes,yes,distro making,web technologies,poor,excellent,data engineering,no,Travel,Technical,yes,yes,CRM Business Analyst
75.88888889,6,0,3,no,yes,yes,distro making,web technologies,poor,poor,data engineering,no,Horror,Technical,no,no,Design & UX
81.77777778,7,0,5,no,no,yes,r programming,system designing,poor,medium,hacking,no,Health,Technical,no,yes,Portal Administrator
79.33333333,6,0,7,yes,yes,no,r programming,system designing,excellent,poor,cloud computing,no,Satire,Management,yes,no,Quality Assurance Associate
79.66666667,6,6,7,yes,no,yes,machine learning,game development,excellent,medium,parallel computing,no,Series,Management,no,yes,Data Architect
79,10,1,1,yes,no,yes,shell programming,web technologies,poor,medium,cloud computing,yes,Action and Adventure,Technical,yes,no,UX Designer
70.77777778,6,4,2,no,yes,no,r programming,system designing,poor,excellent,Computer Architecture,no,Comics,Technical,no,yes,Systems Analyst
73.88888889,11,5,9,no,yes,yes,hadoop,web technologies,excellent,excellent,data engineering,no,Autobiographies,Management,yes,no,Network Security Administrator
77.55555556,12,0,4,yes,yes,no,full stack,hacking,excellent,medium,cloud computing,yes,Self help,Management,no,yes,Mobile Applications Developer
83.11111111,6,2,7,yes,no,no,python,hacking,poor,medium,Software Engineering,yes,Science fiction,Technical,no,yes,Network Security Administrator
70.88888889,10,3,7,yes,yes,yes,hadoop,data science,medium,medium,hacking,no,Drama,Management,no,yes,CRM Business Analyst
76.88888889,6,1,2,no,yes,yes,r programming,data science,excellent,excellent,networks,yes,Fantasy,Management,no,yes,Information Security Analyst
82.11111111,8,6,9,yes,no,yes,machine learning,system designing,excellent,medium,networks,no,Drama,Technical,no,yes,Network Security Administrator
74,10,5,7,yes,no,no,full stack,cloud computing,excellent,poor,networks,yes,Romance,Management,yes,yes,Software Engineer
78.66666667,5,6,2,yes,no,yes,distro making,cloud computing,medium,medium,Software Engineering,yes,Series,Management,no,yes,CRM Business Analyst
77.77777778,11,0,7,yes,no,no,shell programming,testing,excellent,poor,parallel computing,no,Religion-Spirituality,Technical,yes,yes,Business Systems Analyst
75.66666667,4,1,2,no,yes,yes,app development,data science,poor,poor,IOT,yes,Biographies,Technical,no,yes,Software Systems Engineer
79.11111111,11,2,7,no,no,no,distro making,data science,poor,poor,cloud computing,yes,Poetry,Technical,no,yes,Software Quality Assurance (QA) / Testing
78.33333333,12,1,4,no,no,yes,python,game development,excellent,medium,data engineering,no,Diaries,Technical,yes,yes,Data Architect
80.88888889,5,6,6,no,yes,no,shell programming,database security,excellent,medium,parallel computing,no,Math,Management,yes,yes,Technical Support
72.11111111,11,4,5,no,yes,yes,app development,web technologies,poor,excellent,networks,yes,Poetry,Management,yes,no,Business Systems Analyst
72.88888889,7,0,5,yes,no,no,shell programming,web technologies,poor,poor,cloud computing,no,Guide,Technical,yes,no,Network Engineer
81.33333333,11,2,9,no,yes,yes,app development,testing,poor,medium,networks,yes,Prayer books,Technical,yes,yes,CRM Technical Developer
83.22222222,5,0,6,yes,yes,yes,app development,hacking,poor,medium,IOT,yes,Science fiction,Technical,yes,no,Programmer Analyst
75.55555556,11,6,4,no,no,yes,app development,game development,excellent,excellent,data engineering,no,Art,Technical,yes,no,Information Technology Auditor
73.22222222,6,0,8,no,yes,no,distro making,system designing,medium,excellent,data engineering,yes,Poetry,Management,no,no,Information Technology Auditor
73.44444444,8,0,6,no,no,no,r programming,system designing,poor,poor,cloud computing,no,Diaries,Technical,no,no,Project Manager
77.77777778,7,5,3,yes,no,yes,app development,database security,medium,poor,data engineering,no,Religion-Spirituality,Management,yes,no,Technical Support
75.22222222,11,5,8,yes,no,yes,distro making,data science,excellent,poor,programming,yes,Journals,Management,yes,no,Software Quality Assurance (QA) / Testing
77.88888889,7,2,4,no,yes,no,information security,data science,excellent,medium,programming,yes,Mystery,Technical,yes,no,Technical Support
74,4,6,3,no,no,yes,machine learning,testing,medium,poor,parallel computing,yes,Fantasy,Management,no,no,CRM Business Analyst
79.55555556,4,3,7,yes,yes,no,shell programming,testing,excellent,poor,Computer Architecture,yes,Self help,Technical,no,no,Business Systems Analyst
76,4,2,7,yes,yes,no,r programming,hacking,poor,poor,programming,yes,Fantasy,Technical,yes,no,Systems Security Administrator
75.88888889,9,5,5,yes,no,yes,information security,data science,poor,medium,networks,no,Journals,Management,yes,no,Information Security Analyst
73.33333333,9,4,2,yes,no,yes,shell programming,testing,medium,poor,IOT,yes,Horror,Technical,no,yes,Network Engineer
76.44444444,7,2,7,yes,no,no,python,data science,excellent,medium,cloud computing,yes,Action and Adventure,Technical,yes,no,Network Security Engineer
79.44444444,4,5,1,yes,yes,no,full stack,system designing,excellent,medium,IOT,no,Cookbooks,Management,yes,no,Network Security Administrator
78.55555556,10,3,1,no,yes,no,machine learning,game development,medium,excellent,Software Engineering,no,Guide,Technical,no,no,Mobile Applications Developer
82.22222222,7,6,1,yes,no,no,shell programming,data science,poor,excellent,data engineering,yes,Poetry,Technical,no,no,CRM Technical Developer
76.66666667,10,6,3,yes,no,yes,python,cloud computing,excellent,medium,Computer Architecture,no,Satire,Management,yes,yes,Database Developer
71.22222222,5,4,9,no,yes,no,app development,game development,poor,medium,networks,yes,Science fiction,Management,yes,yes,Solutions Architect
79.77777778,8,0,4,no,yes,no,machine learning,data science,medium,medium,data engineering,yes,Health,Technical,yes,no,Information Security Analyst
83.22222222,8,4,5,yes,yes,yes,shell programming,cloud computing,excellent,medium,hacking,no,Horror,Technical,yes,no,Network Engineer
71,11,1,7,no,no,no,r programming,web technologies,excellent,medium,Computer Architecture,no,Autobiographies,Technical,no,yes,Software Developer
73.66666667,8,1,2,yes,no,yes,python,database security,medium,poor,Computer Architecture,no,Comics,Technical,no,yes,E-Commerce Analyst
80.55555556,5,2,5,no,no,yes,machine learning,data science,poor,excellent,data engineering,no,Series,Management,no,no,Software Systems Engineer
76.11111111,6,2,6,yes,no,yes,hadoop,database security,medium,medium,Software Engineering,no,Comics,Technical,no,yes,Database Administrator
71.66666667,4,6,5,no,no,yes,app development,database security,poor,poor,cloud computing,no,Satire,Technical,yes,no,Information Technology Auditor
76.33333333,7,4,1,no,yes,no,r programming,web technologies,poor,poor,parallel computing,yes,Math,Technical,no,yes,Technical Support
74.44444444,4,0,1,yes,no,no,app development,web technologies,poor,medium,hacking,no,Action and Adventure,Technical,no,yes,Business Systems Analyst
77.77777778,8,6,7,no,no,no,r programming,game development,poor,poor,Management,no,Biographies,Technical,no,yes,Software Systems Engineer
72,5,4,2,no,yes,yes,full stack,database security,medium,excellent,Management,yes,Fantasy,Technical,yes,no,Business Systems Analyst
76.22222222,7,1,4,no,no,no,information security,game development,medium,medium,data engineering,no,Diaries,Technical,yes,yes,CRM Business Analyst
78.44444444,12,1,5,no,no,no,full stack,system designing,poor,medium,Computer Architecture,yes,Comics,Management,no,yes,Information Security Analyst
79.33333333,5,1,1,no,yes,no,app development,game development,poor,poor,programming,no,Romance,Technical,yes,yes,Network Security Administrator
82.11111111,6,6,2,yes,no,yes,hadoop,hacking,poor,excellent,Computer Architecture,yes,Religion-Spirituality,Management,no,yes,Software Quality Assurance (QA) / Testing
73.22222222,6,1,4,yes,no,no,information security,database security,excellent,medium,Computer Architecture,no,Dictionaries,Technical,yes,no,Business Systems Analyst
76.77777778,10,3,3,yes,no,yes,information security,testing,poor,poor,Computer Architecture,yes,Prayer books,Technical,yes,no,UX Designer
76.33333333,10,2,4,no,no,yes,app development,cloud computing,excellent,medium,networks,yes,Prayer books,Management,yes,no,Information Security Analyst
76.11111111,6,3,5,no,yes,no,distro making,web technologies,poor,medium,Software Engineering,yes,Health,Management,no,no,Project Manager
75.55555556,6,3,7,no,no,yes,r programming,game development,poor,poor,Software Engineering,no,Science,Management,yes,no,Applications Developer
75.66666667,6,1,8,yes,no,yes,python,cloud computing,medium,poor,data engineering,no,Religion-Spirituality,Management,yes,no,Software Quality Assurance (QA) / Testing
77,10,0,4,yes,no,no,shell programming,game development,excellent,poor,Software Engineering,no,Diaries,Management,yes,yes,Systems Security Administrator
79.88888889,9,3,4,yes,no,yes,full stack,game development,poor,poor,IOT,no,Series,Technical,yes,no,Project Manager
74,9,0,2,yes,yes,no,machine learning,testing,poor,poor,programming,yes,Poetry,Technical,no,no,CRM Business Analyst
72.11111111,12,2,6,yes,yes,yes,information security,web technologies,medium,excellent,parallel computing,no,Childrens,Management,no,yes,Portal Administrator
71.77777778,9,0,7,yes,no,no,shell programming,game development,excellent,poor,hacking,no,Drama,Technical,no,no,Business Intelligence Analyst
76.22222222,11,1,1,no,no,no,information security,testing,excellent,excellent,parallel computing,no,Poetry,Management,no,yes,Database Administrator
77.66666667,5,1,7,no,yes,no,full stack,web technologies,poor,poor,networks,no,Math,Management,yes,yes,Network Security Administrator
75.11111111,12,5,5,no,yes,yes,distro making,game development,excellent,excellent,data engineering,yes,Series,Management,yes,yes,Quality Assurance Associate
77.44444444,7,0,9,yes,yes,no,r programming,data science,medium,poor,hacking,yes,Health,Management,yes,yes,Network Security Administrator
75.11111111,6,2,7,no,yes,yes,full stack,testing,poor,medium,networks,yes,Science fiction,Technical,no,no,Solutions Architect
77.33333333,10,1,2,yes,no,no,app development,hacking,poor,medium,cloud computing,yes,Travel,Technical,yes,no,Portal Administrator
76.33333333,7,4,9,no,no,yes,r programming,game development,poor,excellent,Management,yes,Prayer books,Technical,no,yes,Network Security Administrator
79,9,1,9,yes,yes,no,app development,game development,excellent,excellent,networks,yes,Romance,Technical,no,yes,CRM Business Analyst
79.66666667,8,4,5,yes,yes,no,distro making,cloud computing,excellent,excellent,data engineering,yes,Self help,Management,no,no,Data Architect
78.66666667,7,1,9,yes,yes,no,python,cloud computing,poor,excellent,networks,yes,Travel,Technical,yes,yes,Solutions Architect
76.22222222,5,3,9,yes,yes,yes,machine learning,system designing,poor,excellent,IOT,no,Trilogy,Technical,yes,yes,Solutions Architect
79.88888889,12,0,9,no,no,yes,full stack,web technologies,medium,medium,data engineering,no,Satire,Technical,yes,yes,Database Administrator
78.55555556,4,0,1,no,yes,yes,app development,web technologies,medium,medium,IOT,yes,Drama,Technical,no,yes,Software Engineer
76.66666667,11,3,2,no,yes,yes,python,data science,poor,excellent,data engineering,no,Self help,Management,no,yes,Solutions Architect
72.44444444,4,2,7,yes,yes,yes,full stack,game development,poor,excellent,data engineering,no,Poetry,Management,no,no,Database Developer
75.77777778,5,0,7,yes,yes,yes,information security,web technologies,excellent,poor,Computer Architecture,no,Self help,Management,yes,no,Software Developer
68.77777778,10,5,5,no,yes,no,full stack,database security,excellent,excellent,Management,yes,Guide,Technical,no,no,Network Engineer
76.66666667,8,1,2,no,yes,yes,full stack,web technologies,medium,poor,Software Engineering,no,Prayer books,Technical,no,yes,Database Administrator
73.33333333,7,2,9,yes,no,yes,python,data science,medium,medium,Management,no,Dictionaries,Technical,yes,yes,Applications Developer
74.88888889,12,6,5,no,yes,no,shell programming,web technologies,poor,medium,networks,no,Diaries,Technical,yes,no,Quality Assurance Associate
78.44444444,6,0,3,no,no,yes,distro making,system designing,medium,excellent,networks,yes,Health,Technical,yes,yes,Database Developer
80.44444444,7,6,1,yes,yes,no,r programming,cloud computing,medium,poor,hacking,yes,Self help,Technical,yes,yes,Business Systems Analyst
74.77777778,4,3,7,no,no,no,r programming,data science,poor,poor,Computer Architecture,no,Encyclopedias,Management,no,no,Systems Analyst
77.55555556,12,1,6,yes,no,no,machine learning,database security,poor,poor,Management,yes,Cookbooks,Technical,no,no,Database Manager
71.77777778,12,3,9,yes,yes,yes,shell programming,hacking,poor,medium,Management,no,Self help,Technical,yes,no,Project Manager
80.33333333,9,2,3,yes,yes,no,app development,cloud computing,poor,poor,Computer Architecture,no,Prayer books,Technical,no,yes,CRM Business Analyst
80.44444444,5,5,9,no,yes,no,full stack,database security,excellent,poor,Software Engineering,no,Encyclopedias,Management,yes,yes,Network Security Administrator
78.66666667,9,5,8,yes,no,yes,app development,game development,poor,excellent,programming,yes,Comics,Management,no,yes,Technical Engineer
71.77777778,8,2,3,no,no,no,r programming,hacking,excellent,medium,hacking,no,Horror,Management,no,no,Database Manager
77.66666667,4,0,5,no,no,yes,r programming,game development,excellent,excellent,networks,no,Fantasy,Technical,yes,yes,Business Systems Analyst
75.88888889,5,1,5,yes,no,yes,machine learning,game development,excellent,medium,parallel computing,yes,Drama,Management,yes,no,Information Technology Auditor
72.44444444,8,3,2,yes,no,yes,hadoop,testing,medium,medium,parallel computing,no,Religion-Spirituality,Technical,yes,no,Network Security Engineer
78,5,5,8,yes,no,no,r programming,testing,poor,poor,parallel computing,no,Science fiction,Technical,yes,no,Web Developer
82,9,1,2,yes,no,no,r programming,web technologies,medium,excellent,Computer Architecture,no,Guide,Technical,yes,no,Technical Engineer
71.22222222,7,5,1,yes,yes,yes,hadoop,database security,excellent,medium,cloud computing,no,Health,Management,yes,no,Database Administrator
72.33333333,11,0,9,yes,no,no,machine learning,testing,poor,excellent,Software Engineering,no,Biographies,Management,no,yes,Solutions Architect
74,9,1,5,no,no,no,full stack,testing,excellent,medium,Software Engineering,no,History,Technical,yes,yes,UX Designer
78.88888889,8,2,3,no,yes,yes,machine learning,web technologies,medium,medium,IOT,yes,Self help,Management,yes,no,Mobile Applications Developer
80.77777778,7,1,1,no,no,no,machine learning,testing,medium,poor,hacking,no,Dictionaries,Management,yes,no,UX Designer
77.55555556,7,6,4,no,no,yes,shell programming,cloud computing,excellent,poor,cloud computing,no,History,Technical,yes,no,Technical Engineer
76.11111111,12,2,3,yes,no,yes,r programming,game development,excellent,poor,IOT,yes,Prayer books,Technical,yes,no,Technical Services/Help Desk/Tech Support
78.55555556,7,0,7,no,yes,no,full stack,game development,poor,poor,Management,no,Journals,Management,no,yes,Design & UX
76.22222222,5,6,9,no,no,yes,python,data science,excellent,poor,data engineering,yes,Prayer books,Technical,yes,no,Business Intelligence Analyst
82,10,2,7,yes,yes,yes,shell programming,data science,excellent,medium,Computer Architecture,no,Self help,Management,yes,no,Applications Developer
79.22222222,4,1,7,yes,yes,yes,machine learning,system designing,medium,excellent,programming,yes,Anthology,Management,no,no,Database Developer
81.77777778,9,3,6,no,yes,no,machine learning,hacking,excellent,medium,IOT,no,Romance,Technical,no,yes,Software Quality Assurance (QA) / Testing
74,11,4,3,no,yes,no,python,testing,medium,poor,hacking,no,Fantasy,Technical,yes,no,Software Engineer
75,12,5,4,no,yes,no,python,game development,medium,medium,Management,yes,Art,Management,yes,no,Network Engineer
84,8,2,7,no,yes,no,app development,system designing,medium,poor,Software Engineering,yes,Action and Adventure,Technical,yes,no,Network Security Administrator
77.55555556,7,5,9,no,no,yes,app development,testing,medium,poor,Software Engineering,yes,Horror,Management,yes,yes,Web Developer
75.11111111,8,1,4,yes,no,no,machine learning,database security,excellent,excellent,cloud computing,no,Anthology,Management,no,no,E-Commerce Analyst
76.66666667,10,5,5,no,yes,no,distro making,testing,poor,excellent,programming,no,Guide,Management,no,yes,Business Systems Analyst
76.88888889,6,0,3,no,yes,yes,distro making,game development,poor,poor,cloud computing,yes,Diaries,Management,no,no,Software Systems Engineer
75,4,6,8,yes,no,yes,shell programming,web technologies,medium,poor,Software Engineering,no,Series,Technical,no,yes,Network Engineer
74.22222222,12,1,6,no,yes,no,information security,cloud computing,medium,excellent,cloud computing,no,Cookbooks,Management,no,yes,Technical Engineer
79.77777778,10,5,3,yes,no,yes,full stack,hacking,medium,poor,IOT,yes,Fantasy,Management,no,no,Software Systems Engineer
80.11111111,8,3,2,yes,no,no,shell programming,testing,poor,excellent,cloud computing,no,Poetry,Technical,yes,yes,Network Security Administrator
79,9,0,1,no,yes,yes,r programming,database security,poor,poor,cloud computing,no,Health,Management,yes,no,Systems Security Administrator
78.66666667,5,2,3,no,no,no,information security,game development,excellent,excellent,Software Engineering,yes,Self help,Management,yes,no,Programmer Analyst
83.77777778,9,4,8,yes,yes,no,python,database security,poor,poor,Software Engineering,yes,Dictionaries,Management,yes,no,Information Security Analyst
70,12,2,5,no,no,no,hadoop,cloud computing,excellent,medium,hacking,yes,History,Management,yes,no,Database Administrator
82,6,2,1,no,no,yes,information security,game development,poor,poor,hacking,yes,Poetry,Technical,yes,yes,Portal Administrator
72.66666667,9,5,3,no,no,no,information security,web technologies,medium,medium,data engineering,no,Math,Management,no,no,Database Administrator
73.66666667,10,5,7,no,no,no,r programming,system designing,poor,poor,cloud computing,no,Dictionaries,Management,no,no,CRM Business Analyst
79.44444444,11,0,5,yes,yes,no,hadoop,testing,poor,medium,parallel computing,yes,Autobiographies,Technical,yes,no,Portal Administrator
77.44444444,7,1,6,no,no,yes,shell programming,web technologies,excellent,medium,IOT,yes,Fantasy,Technical,no,yes,Technical Support
74,5,1,6,yes,no,no,full stack,testing,excellent,medium,Software Engineering,yes,Action and Adventure,Technical,yes,no,Information Technology Auditor
82,4,5,1,no,yes,no,r programming,testing,medium,poor,data engineering,no,Dictionaries,Technical,no,yes,E-Commerce Analyst
80.77777778,11,5,7,no,yes,no,app development,hacking,medium,poor,programming,yes,Poetry,Management,no,no,Mobile Applications Developer
71.55555556,5,3,5,yes,no,no,hadoop,data science,excellent,medium,Computer Architecture,yes,Dictionaries,Technical,no,no,Information Technology Manager
78.77777778,11,2,9,no,yes,yes,app development,game development,medium,excellent,parallel computing,yes,Travel,Management,yes,no,Mobile Applications Developer
81.11111111,5,1,9,yes,no,no,distro making,cloud computing,medium,medium,data engineering,no,Action and Adventure,Management,yes,no,Software Engineer
78.44444444,8,2,1,no,yes,no,shell programming,system designing,poor,poor,Computer Architecture,yes,Diaries,Technical,yes,yes,Network Engineer
75.33333333,11,2,9,yes,yes,yes,app development,system designing,poor,medium,networks,yes,Dictionaries,Management,no,yes,Project Manager
66.77777778,6,0,5,yes,yes,yes,information security,web technologies,medium,excellent,parallel computing,no,History,Technical,no,no,Web Developer
71,5,3,2,yes,no,no,shell programming,hacking,medium,medium,cloud computing,no,Health,Management,no,yes,Technical Services/Help Desk/Tech Support
73.77777778,10,4,9,yes,no,yes,distro making,game development,excellent,poor,IOT,no,Poetry,Technical,yes,no,Project Manager
81.33333333,12,5,8,no,yes,no,distro making,web technologies,medium,medium,hacking,no,Science,Management,yes,no,Software Engineer
71.33333333,9,1,9,no,yes,no,hadoop,cloud computing,medium,poor,Computer Architecture,yes,Diaries,Technical,yes,yes,Technical Support
81.22222222,8,3,8,yes,yes,no,hadoop,game development,medium,excellent,networks,no,Prayer books,Technical,no,yes,Database Developer
77.88888889,12,5,7,no,yes,yes,r programming,data science,poor,medium,programming,yes,Science fiction,Technical,no,yes,Database Manager
78.22222222,5,5,5,no,yes,no,hadoop,web technologies,medium,poor,Computer Architecture,no,Fantasy,Technical,no,no,Database Developer
85.33333333,6,0,2,no,no,yes,python,data science,medium,excellent,networks,no,Self help,Management,yes,yes,Business Systems Analyst
73.88888889,5,4,1,yes,yes,yes,full stack,data science,medium,medium,data engineering,yes,Health,Management,no,no,Information Technology Manager
72.55555556,6,5,1,yes,yes,yes,information security,cloud computing,medium,poor,Computer Architecture,yes,Journals,Technical,yes,no,CRM Technical Developer
79.66666667,7,3,5,yes,yes,no,python,database security,medium,poor,Management,no,Comics,Management,yes,no,Network Security Engineer
81.33333333,8,2,8,no,yes,no,distro making,web technologies,poor,poor,networks,no,Comics,Technical,no,no,Technical Engineer
82.11111111,12,5,9,yes,no,yes,full stack,database security,poor,poor,parallel computing,yes,Autobiographies,Technical,yes,yes,Database Manager
78.77777778,9,3,4,no,yes,no,python,hacking,poor,poor,cloud computing,no,Trilogy,Technical,yes,yes,Design & UX
72.44444444,11,1,8,no,yes,no,python,system designing,medium,medium,Management,no,Drama,Management,no,no,Project Manager
74.77777778,11,6,1,yes,no,no,distro making,game development,poor,poor,hacking,yes,Guide,Management,no,yes,Applications Developer
80.22222222,5,4,7,no,no,no,hadoop,database security,medium,excellent,data engineering,yes,Trilogy,Management,no,yes,Database Developer
79.55555556,10,5,4,yes,yes,yes,app development,data science,medium,excellent,data engineering,yes,Cookbooks,Management,no,no,Network Security Administrator
80,9,4,3,no,yes,yes,information security,system designing,poor,excellent,Software Engineering,yes,Drama,Management,yes,no,UX Designer
79.22222222,5,6,5,no,yes,yes,shell programming,system designing,medium,excellent,cloud computing,yes,Comics,Technical,no,yes,Applications Developer
76.44444444,5,0,3,yes,no,no,app development,web technologies,medium,poor,programming,no,Guide,Management,yes,yes,Software Systems Engineer
78.66666667,10,2,2,no,no,yes,app development,web technologies,medium,medium,Computer Architecture,yes,Romance,Management,yes,yes,Network Security Engineer
81,11,3,8,yes,yes,yes,python,web technologies,medium,excellent,networks,yes,Biographies,Management,yes,yes,Systems Security Administrator
71.66666667,7,6,5,no,yes,yes,full stack,database security,poor,excellent,cloud computing,yes,Health,Management,no,no,E-Commerce Analyst
75.88888889,9,2,5,no,yes,yes,shell programming,system designing,medium,excellent,networks,yes,Dictionaries,Management,yes,no,Information Security Analyst
78,4,4,2,no,yes,no,full stack,game development,excellent,poor,parallel computing,no,Encyclopedias,Management,yes,no,Network Engineer
75,11,3,9,no,yes,yes,r programming,testing,excellent,medium,Software Engineering,no,Encyclopedias,Management,no,no,Business Intelligence Analyst
75,10,4,9,no,yes,no,hadoop,hacking,excellent,excellent,programming,no,Prayer books,Management,yes,no,CRM Business Analyst
81.88888889,12,6,6,yes,yes,yes,hadoop,testing,excellent,medium,Software Engineering,yes,Poetry,Management,no,no,Information Technology Manager
73.22222222,7,0,7,no,no,no,hadoop,testing,poor,medium,IOT,no,Fantasy,Technical,no,no,Information Security Analyst
81.55555556,11,1,9,no,yes,yes,r programming,testing,poor,excellent,parallel computing,yes,Satire,Technical,no,no,Software Developer
76,10,5,2,no,yes,yes,machine learning,data science,medium,excellent,programming,yes,Fantasy,Technical,no,yes,Software Engineer
77.44444444,12,4,8,yes,no,no,shell programming,data science,excellent,excellent,Software Engineering,no,Math,Management,yes,yes,Information Security Analyst
72.11111111,10,4,9,no,yes,yes,distro making,game development,excellent,medium,hacking,yes,Science,Technical,no,yes,Software Quality Assurance (QA) / Testing
73.44444444,11,2,7,yes,no,no,distro making,game development,excellent,excellent,programming,yes,Health,Technical,no,yes,Design & UX
79.55555556,8,4,9,no,no,no,machine learning,web technologies,poor,poor,IOT,yes,Self help,Technical,no,no,Database Administrator
79.88888889,5,6,3,yes,yes,no,app development,data science,excellent,medium,data engineering,yes,Diaries,Management,no,yes,Information Technology Manager
77.33333333,10,6,9,no,yes,no,machine learning,web technologies,poor,excellent,networks,no,Horror,Management,no,yes,Technical Engineer
74.55555556,5,6,3,yes,yes,yes,python,game development,poor,medium,hacking,yes,Poetry,Management,yes,no,Database Manager
78.11111111,6,3,3,yes,no,yes,app development,system designing,medium,excellent,Management,yes,Health,Management,yes,no,UX Designer
78.22222222,5,2,9,no,yes,yes,information security,system designing,excellent,poor,data engineering,yes,Cookbooks,Management,no,yes,Software Developer
80.88888889,4,3,4,yes,no,no,machine learning,system designing,poor,poor,hacking,yes,Travel,Technical,yes,no,Programmer Analyst
74.66666667,11,0,8,no,yes,yes,app development,game development,poor,medium,parallel computing,yes,Anthology,Technical,no,no,Systems Security Administrator
73.22222222,6,5,1,yes,no,no,full stack,testing,poor,excellent,Management,no,Art,Management,yes,no,Network Engineer
82.44444444,11,1,4,no,no,no,full stack,cloud computing,poor,poor,programming,yes,Romance,Management,yes,yes,Network Security Administrator
78.66666667,12,5,3,no,no,no,shell programming,game development,poor,excellent,hacking,no,Biographies,Management,yes,yes,Solutions Architect
74.77777778,7,1,6,yes,no,yes,information security,system designing,poor,medium,hacking,no,History,Technical,no,yes,Business Intelligence Analyst
77.22222222,7,4,5,yes,no,yes,distro making,system designing,poor,poor,data engineering,no,Math,Management,yes,no,Web Developer
74.77777778,12,0,2,yes,no,no,full stack,web technologies,excellent,medium,data engineering,no,Fantasy,Management,no,no,Project Manager
73.44444444,6,0,8,yes,yes,yes,distro making,web technologies,poor,excellent,data engineering,no,Horror,Management,yes,yes,CRM Technical Developer
